CreateMeshBuilder,
AddVertex,-0.12, 5.64, 20.833,
AddFace,0,1,2,3,
SetColor,48,40,32,
GenerateNormals,

CreateMeshBuilder,
AddVertex,0.012, 5.1, 0,
AddVertex,0.012, 5.1, 25.2,
AddVertex,0.024, 5.1, 25.2,
AddVertex,0.024, 5.1, 0,
AddFace,3,2,1,0,
SetColor,48,40,32,
GenerateNormals,

CreateMeshBuilder,
AddVertex,0.012, 5.7, 0,
AddVertex,0.012, 5.7, 25.2,
AddVertex,0.024, 5.7, 25.2,
AddVertex,0.024, 5.7, 0,
AddFace,3,2,1,0,
SetColor,48,40,32,
GenerateNormals,

CreateMeshBuilder,
AddVertex,0.18, 5.7,  4.167,
AddVertex,0.12, 5.76, 4.167,
AddVertex,0.06, 5.7,  4.167,
AddVertex,0.12, 5.64, 4.167,
AddFace,3,2,1,0,
SetColor,48,40,32,
GenerateNormals,

CreateMeshBuilder,
AddVertex,0.18, 5.7,  12.5,
AddVertex,0.12, 5.76, 12.5,
AddVertex,0.06, 5.7,  12.5,
AddVertex,0.12, 5.64, 12.5,
AddFace,3,2,1,0,
SetColor,48,40,32,
GenerateNormals,

CreateMeshBuilder,
AddVertex,0.18, 5.7,  20.833,
AddVertex,0.12, 5.76, 20.833,
AddVertex,0.06, 5.7,  20.833,
AddVertex,0.12, 5.64, 20.833,
AddFace,3,2,1,0,
SetColor,48,40,32,
GenerateNormals,

CreateMeshBuilder,
AddVertex,-0.568,-0.01,0.00,
AddVertex,-0.568,-0.01,25.5,
AddVertex,-0.568,-0.13,25.5,
AddVertex,-0.568,-0.13,0.00,
AddVertex, 0.568,-0.01,0.00,
AddVertex, 0.568,-0.01,25.5,
AddVertex, 0.568,-0.13,25.5,
AddVertex, 0.568,-0.13,0.00,
AddFace2,0,1,2,3
AddFace2,4,5,6,7
SetColor,80,51,37
GenerateNormals,
